sep=;
2021-07-15 00:05:29.149577;27.5751709938;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/fr.corenting.traficparis/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/traficparis.pickle;fr.corenting.traficparis;instruction;None;None;None
2021-07-15 00:05:57.452666;76.1054768562;instrument_apk;
2021-07-15 08:43:17.744874;11.4090178013;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/fr.corenting.traficparis/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/traficparis.pickle;fr.corenting.traficparis;instruction;None;None;None
2021-07-15 08:43:32.212165;30.7969679832;instrument_apk;
2021-07-15 08:59:45.855044;11.1262290478;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/fr.corenting.traficparis/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/traficparis.pickle;fr.corenting.traficparis;instruction;None;None;None
2021-07-15 08:59:55.852468;25.7397961617;instrument_apk;
2021-07-15 09:17:36.056455;1.39030003548;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/dev.pesic.rpncalc/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/rpncalc.pickle;dev.pesic.rpncalc;instruction;None;None;None
2021-07-15 09:17:48.065112;18.6332521439;instrument_apk;
2021-07-15 09:34:02.423612;1.36356902122;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/dev.pesic.rpncalc/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/rpncalc.pickle;dev.pesic.rpncalc;instruction;None;None;None
2021-07-15 09:34:14.490926;19.8704280853;instrument_apk;
2021-07-15 09:57:49.167418;1.6536488533;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/dev.pesic.rpncalc/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/rpncalc.pickle;dev.pesic.rpncalc;instruction;None;None;None
2021-07-15 09:58:05.796359;27.7284178734;instrument_apk;
2021-07-15 10:15:19.179305;0.847882032394;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/dev.pesic.rpncalc/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/rpncalc.pickle;dev.pesic.rpncalc;instruction;None;None;None
2021-07-15 10:15:27.870261;14.1545379162;instrument_apk;
2021-07-15 10:32:57.641139;1.64763402939;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/dev.pesic.rpncalc/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/rpncalc.pickle;dev.pesic.rpncalc;instruction;None;None;None
2021-07-15 10:33:11.370688;24.6058700085;instrument_apk;
2021-07-15 10:53:50.628384;1.74635887146;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/dev.pesic.rpncalc/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/rpncalc.pickle;dev.pesic.rpncalc;instruction;None;None;None
2021-07-15 10:54:09.144126;28.3455610275;instrument_apk;
2021-07-15 11:43:26.108511;28.890969038;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/com.easyfitness/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/easyfitness.pickle;com.easyfitness;instruction;None;None;None
2021-07-15 11:43:47.138714;61.2101559639;instrument_apk;
2021-07-15 12:03:00.642423;37.234181881;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/com.easyfitness/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/easyfitness.pickle;com.easyfitness;instruction;None;None;None
2021-07-15 12:03:30.206173;80.7621040344;instrument_apk;
2021-07-15 15:50:11.122794;29.2082438469;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/com.easyfitness/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/easyfitness.pickle;com.easyfitness;instruction;None;None;None
2021-07-15 15:50:39.864688;71.2664198875;instrument_apk;
2021-07-15 16:11:25.832051;19.8898470402;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/com.easyfitness/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/easyfitness.pickle;com.easyfitness;instruction;None;None;None
2021-07-15 16:11:43.952535;44.7539360523;instrument_apk;
2021-07-15 16:35:57.020078;28.8893711567;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/com.easyfitness/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/easyfitness.pickle;com.easyfitness;instruction;None;None;None
2021-07-15 16:36:18.737447;64.1679821014;instrument_apk;
2021-07-15 16:57:20.794797;32.6272370815;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/com.easyfitness/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/easyfitness.pickle;com.easyfitness;instruction;None;None;None
2021-07-15 16:58:02.149535;85.9251968861;instrument_apk;
2021-07-15 17:40:58.185339;18.653277874;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-15 17:41:24.461781;55.7750740051;instrument_apk;
2021-07-15 17:57:56.776814;21.8166730404;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-15 17:58:26.373459;61.8711988926;instrument_apk;
2021-07-15 18:05:19.163743;23.0512361526;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-15 18:06:06.853749;83.5598618984;instrument_apk;
2021-07-15 18:18:30.296608;20.4877810478;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-15 18:18:59.251620;65.9136469364;instrument_apk;
2021-07-15 18:29:27.783160;18.4525270462;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-15 18:29:49.120170;51.1389789581;instrument_apk;
2021-07-16 13:55:56.526999;16.2477450371;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-16 13:56:13.924444;42.6433870792;instrument_apk;
2021-07-16 13:59:52.600247;18.1903381348;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-16 14:00:08.479586;44.4512529373;instrument_apk;
2021-07-16 14:17:50.898282;18.3463788033;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-16 14:18:11.142517;51.5832631588;instrument_apk;
2021-07-16 14:49:11.405253;22.6038689613;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-16 14:49:38.532065;65.8769431114;instrument_apk;
2021-07-16 15:16:51.724920;21.2427771091;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-16 15:17:20.393352;61.8278138638;instrument_apk;
2021-07-16 15:36:47.333181;18.3410010338;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.scoutant.blokish/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/blokish.pickle;org.scoutant.blokish;instruction;None;None;None
2021-07-16 15:37:17.145470;58.8098199368;instrument_apk;
2021-07-16 15:54:34.753803;2.53067612648;instrument_smali_code;/home/tbg/acvtool/acvtool_working_dir/apktool/org.billthefarmer.currency/smali;/home/tbg/acvtool/acvtool_working_dir/metadata/billthefarmercurrency.pickle;org.billthefarmer.currency;instruction;None;None;None
2021-07-16 15:54:42.957759;22.9035260677;instrument_apk;
